"project_funding","appropriation_detail","grantee_name","project_name","project_type","app_commuting_zone","project_description","ktid","cities"
150000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Form Energy, Inc.  ","RAPID: Realizing Advanced Production of Iron-Air Batteries for Commercial Deployment      ","SUB","Saint Clairsville, OH","Form Energy, Inc. (Form) has developed a 100-hour iron-air storage energy system that enables the grid to run cost-effectively and reliably on low-cost clean energy year-round. Form proposes to install its first large commercial-scale 20 GWh/yr iron-air battery manufacturing line. The Project’s objectives are to:   (1) install a new line and ramp up to 20 GWh/yr capacity by 2027 and (2) hire and train a  permanent domestic manufacturing workforce of up to 600 employees to operate the line. The Project will be installed at Form Factory 1 (“FF1”), Form’s manufacturing facility in Weirton, WV. FF1 sits on a 55-acre site in the northern panhandle of West Virginia where the former Weirton Steel Corporation operated its steel mill. Weirton Steel was once the largest employer in the state, employing over 12,000 workers. The Project will accomplish several key goals including facilitating a new era of iron manufacturing in steel country while creating hundreds of permanent skilled jobs; supporting the decarbonization of the US electric grid; placing the U.S. ahead of the rest of the world in manufacturing multi-day storage batteries; and enhancing national security and grid resilience by reducing dependence on lithium-ion supply chains.  ","Battery Manufacturing & Energy Storage","Hancock County, WV; Newell, WV; Toronto, OH; New Cumberland, WV; Chester, WV; Weirton, WV; Wellsville, OH; Ohioville, PA; Paris, PA; Pottery Addition, OH; East Liverpool, OH"
100000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Group14 Technologies Inc.","Commercial Manufacturing of a Stable Silicon Anode Material Towards Fostering a Strong U.S. Battery Supply Chain","SUB","Ephrata, WA","Group14’s next-generation silicon-carbon composite to displace graphite in lithium-ion battery (LIB) anodes, called SCC55™, facilitates dramatic reductions in battery cost and carbon footprint on a per unit basis compared to incumbent graphite anode material. SCC55™ is an innovative composite of amorphous, nanosized silicon within a porous carbon scaffold. This patented structure results in high-energy density, cycle stability, and fast charge capability. Importantly, SCC55™can be deployed directly in current LIB production equipment with very low switching costs and rapid implementation timelines. Such features, combined with scalable and efficient manufacturing, make SCC55™ a critical component of a stronger U.S. battery supply chain. Group14 intends to build two 2,000 ton per year commercial manufacturing modules. The engineering unit operations and reactor designs are validated via the company’s Washington State commercial launch factory that has already produced and shipped multiple tons of SCC55™ to customers worldwide.","Battery Manufacturing & Energy Storage","Grant County, WA; Wilson Creek, WA; Wheeler, WA; Crescent Bar, WA; Schwana, WA; Sunland Estates, WA; Hartline, WA; Soap Lake, WA; Beverly, WA; Krupp, WA; Lakeview, WA; Ephrata, WA; Warden, WA; Quincy, WA; Marine View, WA; Coulee Dam, WA; Electric City, WA; George, WA; Grand Coulee, WA; Moses Lake, WA; Banks Lake South, WA; Cascade Valley, WA; Royal City, WA; Coulee City, WA; Mattawa, WA; Desert Aire, WA; Moses Lake North, WA"
200000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Group14 Technologies, Inc.  ","Enabling the Silicon Battery Supply Chain by Building a Robust U.S. Silane Manufacturing Capacity  ","SUB","Ephrata, WA","Group14 Technologies, Inc. (“Group14”) is on a mission to electrify everything. This mission is fueled by our technology representing the biggest step change in Lithium-Ion Battery (“LIB”) anode performance in 40 years. By manufacturing and delivering large commercial volumes of our transformational silicon-based anode material named SCC55™, Group14 supports the global transition from fossil fuels to a green energy future with a net zero-carbon economy.  However, manufacturing large commercial volumes of silicon-based anode materials in the U.S. requires commensurately large-scale commercial access to silane gas. The objective of this project is to install, commission, and operate a U.S.-based silane manufacturing plant​.​   While the largest source of silane today is China, Group14 and other silicon battery companies must strategically source this critical raw material domestically to support EV-scale battery production and reduce foreign battery supply chain dependence. Approximately 80% of the largest available source of silane produced in the U.S. is controlled by a single company and earmarked for solar polysilicon. Additional domestic silane capacity is required to develop the silicon battery industry.  This proposed Group14 U.S. facility will produce silane at a significantly reduced capital and energy requirement from the conventional process and be capable of directly feeding silane to multiple silicon anode powder manufacturers via pipeline or container, thus alleviating a critical bottleneck for the industry.  ","Battery Manufacturing & Energy Storage","Grant County, WA; Wilson Creek, WA; Wheeler, WA; Crescent Bar, WA; Schwana, WA; Sunland Estates, WA; Hartline, WA; Soap Lake, WA; Beverly, WA; Krupp, WA; Lakeview, WA; Ephrata, WA; Warden, WA; Quincy, WA; Marine View, WA; Coulee Dam, WA; Electric City, WA; George, WA; Grand Coulee, WA; Moses Lake, WA; Banks Lake South, WA; Cascade Valley, WA; Royal City, WA; Coulee City, WA; Mattawa, WA; Desert Aire, WA; Moses Lake North, WA"
126586497,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Honeywell International Inc ","LiFSI: 10KT/yr Electrolyte Salt Production Facility","SUB","Gretna, LA","Honeywell International Inc., (“Honeywell”) is seeking to build a commercial- scale facility for the domestic production of Lithium (bis)FluoroSulfonyl Imide (LiFSI) – LiN(SO2F)2. The new, state-of-the-art facility would be located at or near the existing Honeywell property in Geismar, Louisiana. The Geismar Lithium Salt plant is expected to be the first domestic production facility for LiFSI. LiFSI is an important electrolyte salt which possesses complementary and performance-enhancing technical characteristics for Lithium Batteries (“LiB”) used for electric vehicles and energy storage sites as compared with LiPF6 (lithium hexa fluoro phosphate) alone.   Honeywell’s production technology will improve the baseline of available technology by producing LiFSI from the key intermediate","Battery Manufacturing & Energy Storage","Ascension Parish, LA; Lemannville, LA; St. Gabriel, LA; Belle Rose, LA; Port Vincent, LA; Darrow, LA; French Settlement, LA; Gonzales, LA; Prairieville, LA; Sorrento, LA; Donaldsonville, LA; Union, LA"
197338492,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","ICL-IP America Inc.","Commercial Production of Lithium Iron Phosphate Cathode Powder for the Global Lithium Battery Industry","SUB","St. Louis, MO","ICL-IP America Inc. intends to build a plant in the U.S. to produce high-quality lithium iron phosphate (LFP) cathode powder for the global lithium battery industry using primarily a domestic supply chain. Using its own process technology and by acquiring licenses for certain other commercially proven processes, the plant will have two production lines built in dual phases under a single roof. Each production line will be capable of producing 15,000 tonnes per year of LFP powder. The plant will be an expansion of its existing facility in St. Louis, MO. Production will start in 33 months. The length of the project will be 60 months, resulting in a commercial and profitable manufacturing operation going forward from completion.","Battery Manufacturing & Energy Storage","St. Louis County, MO; Calverton Park, MO; Winchester, MO; Twin Oaks, MO; Greendale, MO; Crystal Lake Park, MO; Black Jack, MO; Country Life Acres, MO; Flordell Hills, MO; Glen Echo Park, MO; Huntleigh, MO; Lakeshire, MO; Marlborough, MO; Uplands Park, MO; Westwood, MO; Sappington, MO; Kinloch, MO; Sycamore Hills, MO; Country Club Hills, MO; Hanley Hills, MO; Olivette, MO; Vinita Park, MO; Clayton, MO; Bel-Nor, MO; Murphy, MO; Bellerive Acres, MO; Wilbur Park, MO; St. Charles, MO; Beverly Hills, MO; Velda Village Hills, MO; Webster Groves, MO; Ballwin, MO; Maryland Heights, MO; Bellefontaine Neighbors, MO; Eureka, MO; Brentwood, MO; Pasadena Park, MO; Velda City, MO; Ferguson, MO; Bridgeton, MO; Edmundson, MO; Warson Woods, MO; Grantwood Village, MO; Manchester, MO; Affton, MO; Bella Villa, MO; Bel-Ridge, MO; Florissant, MO; Hazelwood, MO; Ladue, MO; Northwoods, MO; Oakland, MO; Overland, MO; Berkeley, MO; St. John, MO; Sunset Hills, MO; University City, MO; Valley Park, MO; Pagedale, MO; Breckenridge Hills, MO; Champ, MO; Cool Valley, MO; Dellwood, MO; Des Peres, MO; Ellisville, MO; West Alton, MO; St. Louis, MO; Wellston, MO; Riverview, MO; St. George, MO; Glendale, MO; Castle Point, MO; Glasgow Village, MO; Mehlville, MO; Spanish Lake, MO; Woodson Terrace, MO; Chesterfield, MO; LaBarque Creek, MO; Lemay, MO; Concord, MO; Clarkson Valley, MO; Normandy, MO; Creve Coeur, MO; Fenton, MO; Frontenac, MO; Kirkwood, MO; Maplewood, MO; Pasadena Hills, MO; Shrewsbury, MO; Town Country, MO; Jennings, MO; Moline Acres, MO; Weldon Spring, MO; Charlack, MO; Green Park, MO; Richmond Heights, MO; St. Ann, MO; Crestwood, MO; Hillsdale, MO; Pine Lawn, MO; Norwood Court, MO; Rock Hill, MO; Pacific, MO; Old Jamestown, MO; Wildwood, MO; Oakville, MO"
197338492,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","ICL-IP America Inc.","Commercial Production of Lithium Iron Phosphate Cathode Powder for the Global Lithium Battery Industry","SUB","St. Louis, MO","ICL-IP America Inc. intends to build a plant in the U.S. to produce high-quality lithium iron phosphate (LFP) cathode powder for the global lithium battery industry using primarily a domestic supply chain. Using its own process technology and by acquiring licenses for certain other commercially proven processes, the plant will have two production lines built in dual phases under a single roof. Each production line will be capable of producing 15,000 tonnes per year of LFP powder. The plant will be an expansion of its existing facility in St. Louis, MO. Production will start in 33 months. The length of the project will be 60 months, resulting in a commercial and profitable manufacturing operation going forward from completion.","Battery Manufacturing & Energy Storage","St. Louis city, MO; Clayton, MO; East St. Louis, IL; Bellefontaine Neighbors, MO; Cahokia Heights, IL; University City, MO; St. Louis, MO; Wellston, MO; Riverview, MO; Glasgow Village, MO; Spanish Lake, MO; Lemay, MO; Maplewood, MO; Shrewsbury, MO; Jennings, MO; Sauget, IL; Richmond Heights, MO; Hillsdale, MO; Pine Lawn, MO"
100000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Koura, part of Orbia Fluorinated Solutions, (formerly Mexichem Fluor, Incorporated)","LiPF6 Manufacturing Plant in St. Gabriel, Louisiana ","SUB","Baton Rouge, LA","Mexichem Fluor, Inc. Dba Koura, a global leader in the development, manufacture, and supply of fluoroproducts, plans to build the first U.S. manufacturing plant for lithium hexafluorophosphate (LiPF6) on the grounds of the company’s existing fluorochemical production site in St. Gabriel, Louisiana. Currently, there are no large-scale domestic producers of LiPF6 and all of it comes from Asian imports. Furthermore, the material degrades over time and is costly to import to the US. As a result, lack of domestic manufacturing represents a critical risk in the supply chain for lithium-ion battery production in the U.S. As part of the fluorinated solutions business group of Orbia, a publicly traded global corporation with total revenues of $8.7 billion in 2021, Koura employs a Mine-to-Market capability to produce and distribute its fluorochemical products globally and it owns a vertically integrated North American supply of fluorine, the primary component of LiPF6. Koura’s proposed plant will produce up to 10,000MT of LiPF6 per year, which is sufficient to support domestic production of more than a million full electric vehicles (EVs) annually. Furthermore, Koura’s LiPF6 plant will have a secure access to critical minerals and downstream processing to establish domestic production of LiPF6. It will also utilize vertical integration, recycling, and state-of-the-art manufacturing to achieve production economics that will be competitive with foreign imports. This capability will support the broader development of a resilient and stable domestic lithium-ion battery supply chain and reduce the need for Asian imports, providing direct benefits to automotive companies that are producing EVs to reduce the use of fossil fuels. ","Battery Manufacturing & Energy Storage","Iberville Parish, LA; White Castle, LA; Dorseyville, LA; Crescent, LA; Maringouin, LA; St. Gabriel, LA; Rosedale, LA; Grosse Tete, LA; Bayou Goula, LA; Plaquemine, LA"
55243798,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Li Industries, Inc    ","Direct Recycling-Enabled Closed-Loop and Cost Competitive Domestic Lithium Iron Phosphate Manufacturing","SUB","Dayton, OH","Li Industries, Inc. (LII) proposes retooling of a former manufacturing facility to establish a 10,000 tonnes per annum (tpa) lithium iron phosphate (LFP) cathode active material (CAM) direct recycling and production plant. General Motors (GM) is supporting LII on the development of technology to enable the direct recycling process, and LII is partnering with others to build and operate the facility. The facility will increase America’s competitiveness in lithium-ion battery (LIB) recycling and manufacturing, localize the battery supply chain, and improve local workforce conditions for surrounding disadvantaged communities (DACs).   This project focuses on the implementation of a 10,000 tpa LFP CAM direct recycling and manufacturing facility, utilizing LII’s innovative technology to produce low cost, sustainable LFP CAM to supply the domestic LIB manufacturing industry for electric vehicle and battery energy stationary storage applications. To realize this goal, LII will design, construct, and operate the facility with support from partners.   This facility aims to deliver 5 GWh of domestic LFP CAM manufacturing capacity to support LIB manufacturing and bolster supply chain circularity. A successful scale-up of this technology will reduce LFP CAM production costs by 23% compared to traditional manufacturing technologies.","Battery Manufacturing & Energy Storage","Montgomery County, OH; Bellbrook, OH; Verona, OH; Dayton, OH; Phillipsburg, OH; Farmersville, OH; Englewood, OH; West Carrollton, OH; Moraine, OH; Drexel, OH; Fort McKinley, OH; Shiloh, OH; Union, OH; Carlisle, OH; Germantown, OH; Miamisburg, OH; New Lebanon, OH; Oakwood, OH; Riverside, OH; Springboro, OH; Franklin, OH; Centerville, OH; Huber Heights, OH; Park Layne, OH; Wright-Patterson AFB, OH; Brookville, OH; Beavercreek, OH; Kettering, OH; Trotwood, OH; Vandalia, OH; Clayton, OH"
100000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Mitra Future Technologies, Inc.     ","American Production of Lithium Iron Phosphate and Future Innovation (AmPLIFI) ","SUB","Grand Rapids, MI","Mitra Chem will establish domestic manufacturing capability of U.S. made Section 30D qualifying lithium iron phosphate (LFP) cathode active materials for electric vehicle (EV), energy storage systems (ESS), and defense applications. The AmPLIFI project will establish the infrastructure and process technology to integrate production of next-generation lithium manganese iron phosphate (LMFP) cathodes. Mitra Chem will build and operate the first U.S. based commercial production plant for LFP cathode materials and lay the infrastructure for next generation battery materials such as LMFP that will establish the United States as the global leader for next generation battery materials. AmPLIFI is designed to accelerate the scale up of domestic production of affordable, high-performance iron-based cathode materials to support the growing domestic battery supply chain for EVs, ESS, and defense applications. Mitra Chem combines battery materials expertise, manufacturing know-how, and an end-to-end machine learning accelerated R&D platform to synthesize critically undersupplied Western battery materials.  Mitra Chem’s AmPLIFI project represents a significant step forward in building a robust domestic electric vehicle battery supply chain that is cleaner, safer, more affordable, and independent of China. Mitra Chem’s AmPLIFI propels U.S. autonomy in battery materials by significantly boosting iron-rich cathode production. By 2027, AmPLIFI aims to nearly double the U.S.'s LFP production capacity (15,000 tonnes of new LFP per year), with plans to double production again (30,000 tonnes per year) after project completion. Innovations in high-energy-density LMFP cathode materials, developed to be compatible with existing manufacturing processes, underscore Mitra Chem's commitment to technological leadership. This initiative not only addresses the supply-demand gap but also promotes environmental sustainability, economic growth, and positions the U.S. as a leader in the global battery technology arena.","Battery Manufacturing & Energy Storage","Muskegon County, MI; Roosevelt Park, MI; North Muskegon, MI; Twin Lake, MI; Casnovia, MI; Montague, MI; Fruitport, MI; Norton Shores, MI; Muskegon Heights, MI; Wolf Lake, MI; Muskegon, MI; Whitehall, MI; Lakewood Club, MI; Ravenna, MI"
60000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Nanograf ","Large Scale Manufacturing of High-Performance Silicon Monoxide Anode Materials    ","SUB","Detroit, MI","NanoGraf Corporation, a leader in the development of advanced anode materials, is set to transform the electric vehicle (EV) sector with the establishment of an advanced silicon anode manufacturing facility in Flint, Michigan. Since its inception in 2012, NanoGraf Corporation has been a leader in silicon anode technology having commercialized cutting-edge silicon anode solutions featured in high-energy military applications. NanoGraf’s silicon monoxide (SiO) anode material offers superior energy density and cycle life while also being produced through an energy-efficient process that significantly reduces overall cost to the customer. The project enables NanoGraf to achieve the cost and scale necessary for mainstream markets, marking NanoGraf’s readiness to address the critical needs of the EV sector. With an investment of $175 million including support from the Michigan Economic Development Corp, this ambitious project aims to strengthen the American battery supply chain and support the rapidly expanding EV market. Targeting a production capacity of 2,500 tonnes per year, the facility is poised to significantly boost domestic silicon anode production. The Flint facility is expected to create 150 high-quality jobs, helping restore the city’s status as a manufacturing hub and form strategic union partnerships for construction and operations. NanoGraf is poised to fortify the U.S. battery supply chain, enhance national security, and foster the transition to a sustainable green economy, aligning with government objectives for national energy independence.   The project will not only reduce dependence on foreign suppliers, but also expand U.S. expertise in producing strategic battery materials that will bolster domestic EV manufacturing and competitiveness. NanoGraf will respond to the growing demand for domestically produced silicon anode materials while maintaining facility safety, product quality, and efficiency.","Battery Manufacturing & Energy Storage","Genesee County, MI; Burton, MI; Mount Morris, MI; Otisville, MI; Montrose, MI; Davison, MI; Gaines, MI; Goodrich, MI; Lennon, MI; Lake Fenton, MI; Fenton, MI; Flushing, MI; Grand Blanc, MI; Clio, MI; Burt, MI; Argentine, MI; Beecher, MI; Linden, MI; Flint, MI; Swartz Creek, MI; Otter Lake, MI"
100000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","NOVONIX Anode Materials LLC ","Large Scale, Energy Efficient, Domestic Production of High-performance Synthetic Graphite Anode Material for Use in Electric Vehicles and Energy Storage Systems ","SUB","Chattanooga, TN","NOVONIX Anode Materials LLC (“NAM”), a wholly-owned subsidiary of NOVONIX Limited, was formed in 2017. It has developed significant process technology and experience in producing lower carbon intensity, high performance, synthetic graphite targeting the electric vehicle and energy storage sectors. NOVONIX Anode Materials LLC (“NAM”) plans to deploy $100 million in MESC grant funding to fully equip its existing 400,000+ ft2 manufacturing facility (“Riverside”) in Chattanooga, TN to produce up to 20,000 TPA high-performance synthetic graphite and create approximately 350 permanent, high-quality, full-time jobs by 2026, commencing production in 2024 (the “Project”). The Project will be the first commercially active synthetic graphite facility in North America, allowing for future cost improvements and providing a base for product qualification to scale production significantly in the United States. The project will use raw materials primarily sourced domestically, leverage domestic technology and equipment suppliers, and enjoy significant involvement from community supporters. The project involves strong partnerships, commitments, and support from domestic technology and equipment suppliers such as Phillips 66 and Harper International, validation partners such as Oak Ridge National Labs, and cell manufacturers and automotive original equipment manufacturers (OEMs). NAM will deploy its advanced, cost effective and environmentally friendly process technology to provide a ~60% reduction in carbon intensity relative to the traditional Chinese synthetic graphite.","Battery Manufacturing & Energy Storage","Hamilton County, TN; Lookout Mountain, TN; Whiteside, TN; Lakesite, TN; Red Bank, TN; Lookout Mountain, GA; East Ridge, TN; Ooltewah, TN; Mowbray Mountain, TN; Lone Oak, TN; Flat Top Mountain, TN; Wildwood, GA; Chattanooga, TN; Collegedale, TN; Apison, TN; Falling Water, TN; Sale Creek, TN; Middle Valley, TN; Fairmount, TN; Ridgeside, TN; Signal Mountain, TN; Walden, TN; Rossville, GA; Lakeview, GA; Harrison, TN; Soddy-Daisy, TN"
145000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Revex Technologies, Inc. ","REV Nickel: A partnership between a next-generation critical mineral processing company and the only operating US Nickel mine to turn waste streams (mine tailings and spent batteries) into valuable critical minerals","SUB","Marquette, MI","The REV Nickel Project is an innovative partnership between a next-generation critical mineral processing company and the only operating U.S. primary nickel mine, to turn metal-bearing waste streams, mine tailings and spent batteries, into valuable critical materials. This will strengthen the domestic nickel supply chain, provide durable community benefits and good- paying clean tech jobs in rural America. Revex, the prime recipient, is a U.S. corporation with core competencies in developing and implementing technologies, assembling best-in-class partnerships, and project execution. Eagle Mine, the sub-recipient, is a U.S subsidiary of Lundin Mining of Canada and a co-founder of Revex. In addition to project funding, the $398 million project is supported by up to $100 million in funding by the State of Michigan, contingent upon federal funding. The project will have its first intermediate nickel product within 20 months of completed funding. The integrated project will yield domestic nickel production for at least 462,000 EV batteries per year. Revex and Eagle Mine’s joint strategy for REV Nickel is to construct and operate three related facilities in Marquette County, Michigan","Battery Manufacturing & Energy Storage","Marquette County, MI; Michigamme, MI; Palmer, MI; Gwinn, MI; Marquette, MI; K. I. Sawyer, MI; Trowbridge Park, MI; Harvey, MI; Ishpeming, MI; Negaunee, MI; Republic, MI; Big Bay, MI; West Ishpeming, MI"
100000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Sila Nanotechnologies","Auto Scale Silicon Anode Plant ","SUB","Ephrata, WA","These funds will support the build-out of a 600,000-square-foot factory housed in Moses Lake, Washington, that will produce breakthrough lithium-ion anode materials. The project is expected to begin production of Sila’s proprietary silicon anode material in 2025, with full production of 20 gigawatt-hour (GWh) equivalent of material at the project’s conclusion in 2026. Sila will build out the factory to full capacity across its 160-acre campus, producing enough materials to power 200,000 electric vehicles (EVs), making Sila’s plant the largest silicon anode production facility in the world. Automaker Mercedes-Benz will be the first commercial customer served by the Moses Lake facility, as the company has selected Sila’s anode materials to power its electric vehicles, starting with the G-Class series, due to be released mid-decade.","Battery Manufacturing & Energy Storage","Grant County, WA; Wilson Creek, WA; Wheeler, WA; Crescent Bar, WA; Schwana, WA; Sunland Estates, WA; Hartline, WA; Soap Lake, WA; Beverly, WA; Krupp, WA; Lakeview, WA; Ephrata, WA; Warden, WA; Quincy, WA; Marine View, WA; Coulee Dam, WA; Electric City, WA; George, WA; Grand Coulee, WA; Moses Lake, WA; Banks Lake South, WA; Cascade Valley, WA; Royal City, WA; Coulee City, WA; Mattawa, WA; Desert Aire, WA; Moses Lake North, WA"
150000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","SKI US, Inc. ","Commercial Scale Continuous Heat Treatment (CHT) Process for Next Generation Synthetic Graphite Production ","SUB","Columbia, SC","SKI US, Inc., (dba Birla Carbon) is proposing to strengthen the U.S. battery supply chain with a next generation synthetic graphite domestic continuous production facility that will not use any feedstock material sourced from an entity that would be designated a foreign entity of concern (FEOC). This new production site would supply approximately 25,000 tonnes of synthetic graphite annually to meet the projected U.S. electric vehicle (EV) and energy storage market demand. It is evident the need exists for expanded domestic capacity using improved technologies such as the proposed Birla Carbon process. In contrast, the traditional Acheson process (used to produce more than 90% of world’s synthetic graphite in China) relies on a toxic, hazardous, and energy-intensive antiquated batch process that would require significant additional investments to comply with U.S. environmental requirements, rendering that technology not economically viable for the domestic EV battery market. The proposed Birla Carbon facility would use a novel continuous process to produce synthetic graphite that has been shown to provide up to a 4% improvement in cell energy and power density over synthetic graphite produced from the Acheson batch process. Birla Carbon’s proprietary process for producing battery-grade graphite reduces by 17% the energy needed for manufacturing, decreases carbon dioxide emissions by 60%, and improves worker safety by limiting chemical exposures. Birla Carbon’s proof-of-concept 200 ton per year plant has already demonstrated that their novel process for graphitizing needle coke produces synthetic graphite that meets or exceeds performance requirements for high-performance fast-charging batteries. The addition of this novel technology to the U.S. supply chain would reduce our dependence on FEOCs and would diversify a vulnerable segment of the battery sector’s critical minerals.  ","Battery Manufacturing & Energy Storage","Orangeburg County, SC; North, SC; Eutawville, SC; Cope, SC; Vance, SC; Elloree, SC; Livingston, SC; Bowman, SC; Holly Hill, SC; Orangeburg, SC; Santee, SC; Woodford, SC; Wilkinson Heights, SC; Neeses, SC; Brookdale, SC; Branchville, SC; Springfield, SC; Cordova, SC; Rowesville, SC; Norway, SC; Edisto, SC"
50000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Solid Power Operating, Inc.   ","Continuous Production of Sulfide-based Solid Electrolyte Materials for Advanced All-solid-state Batteries","SUB","Denver, CO","Successful electrification of the automotive industry in the United States requires continued advancement in battery technology and the battery materials that support that advancement. All-solid-state batteries (ASSBs) have momentum among automotive manufacturing companies as the leading candidate to eventually replace conventional Li-ion batteries with the potential for improved safety performance, increased range, and lower cost.   A key risk area and strategic opportunity for the United States is the fact that no continuous production of the critical solid electrolyte materials that enable solid-state batteries has been demonstrated globally. Solid Power is a leading manufacturer of sulfide-based solid electrolytes that enable the manufacture of ASSBs using technology developed and scaled in the United States. Solid Power currently has the capability to produce 30 metric tonnes of electrolyte per year. With the support of the Bipartisan Infrastructure Law Battery Materials Processing and Battery Manufacturing Grant, as well as support from global automotive manufacturers and battery cell producers, Solid Power proposes to simultaneously expand electrolyte production at its Thornton, CO facility and significantly decrease the electrolyte cost through the first known global implementation of an efficient, continuous manufacturing process.  ","Battery Manufacturing & Energy Storage","Adams County, CO; Shaw Heights, CO; Denver, CO; Westminster, CO; Sherrelwood, CO; Byers, CO; Welby, CO; Thornton, CO; Derby, CO; Strasburg, CO; Twin Lakes, CO; Arvada, CO; Bennett, CO; Brighton, CO; Berkley, CO; North Washington, CO; Todd Creek, CO; Northglenn, CO; Lochbuie, CO; Aurora, CO; Federal Heights, CO; Commerce City, CO; Broomfield, CO; Watkins, CO"
178218568,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","Solvay Specialty Polymers USA, LLC","Solvay Battery-Grade PVDF Manufacturing Facility","SUB","Augusta, GA","Solvay is a global leader in advanced materials and specialty chemicals. In the United States, our people are working in 35 sites across 25 states. Solvay Specialty Polymers USA, LLC intends to build a new battery-grade polyvinylidene fluoride (PVDF) facility in Augusta, GA, to supply the needs of the North American electric vehicle (EV) and stationary energy storage market. As noted in the Administration’s June 2021 critical product supply chain report,  PVDF is indispensable in the production of batteries as cathode binder and separator coating material.  Solvay’s next-generation PVDF is being used by nearly all EV battery suppliers. PVDF enables EV batteries to go farther on charge, contributes to cycle life, and enhances battery durability. The planned project, which still requires approval from the Solvay Board of Directors, has the potential to provide enough PVDF to supply more than 5 million EV batteries per year at full capacity.","Battery Manufacturing & Energy Storage","Richmond County, GA; North Augusta, SC; Augusta-Richmond County, GA; Martinez, GA; Hephzibah, GA; Blythe, GA; Grovetown, GA; Beech Island, SC"
166175802,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","South32 Hermosa Inc.  ","South32 Hermosa Project: Producing Battery-Grade Manganese in Arizona      ","SUB","Tucson, AZ","South32’s Hermosa Project will be the only domestically mined source of high purity manganese sulfate monohydrate (HPMSM) for electric vehicle battery chemistries. The battery-grade manganese will be made from ore sourced in Arizona from the US’s first mine project in the FAST41 permitting process to meet the growing demands of the North American EV supply chain. Today over 96% of HPMSM is made in China. The processing facilities South32 Hermosa proposes to build have been de-risked as they are based on a pilot-scale project, which both demonstrated the ability to produce HPMSM and proved South32 Hermosa’s ability to meet  the stringent quality needs of customers for next generation high manganese cathodes.   The project objectives include constructing and operating the manganese processing facility in Arizona to produce up to 60,000 tonnes per annum (tpa) of domestic HPMSM for phase 1 and expanding the cumulative capacity to 185,000 tpa for subsequent phases. South32’s HPMSM production will contribute to rapidly developing the electric vehicle battery supply chain, accelerating the commercialization of innovative, de-risked HPMSM processing technology, enhancing US national and economic security, and creating economic development in a disadvantaged region with high unemployment and poverty rates, and which has been disproportionally impacted by past environmental challenges. ","Battery Manufacturing & Energy Storage","Santa Cruz County, AZ; Kino Springs, AZ; Tumacacori-Carmen, AZ; Elgin, AZ; Patagonia, AZ; Nogales, AZ; Arivaca Junction, AZ; Tubac, AZ; Rio Rico, AZ; Amado, AZ; Beyerville, AZ; Sonoita, AZ"
225000000,"Bipartisan Infrastructure Law: Battery Materials Processing and Battery Manufacturing Recycling Grants","SWA Lithium, LLC   ","Commercial Domestic Production of Lithium Carbonate from the Smackover Formation Brines in Southern Arkansas Using Direct Lithium Extraction Technology   ","SUB","Magnolia, AR","SWA Lithium LLC (“SWAL”) is a U.S. based company, jointly owned by Standard Lithium Ltd. (SLI), a publicly listed innovative technology and lithium development company headquartered in Canada, and Equinor, a publicly listed global energy leader with operations in oil and gas, renewables and low carbon solutions. SWAL is focused on the sustainable development of the advanced stage South West Arkansas (SWA) project utilizing Direct Lithium Extraction (DLE) and purification technologies. The SWA project is expected to be one of the world’s first commercial scale DLE projects located in the Smackover Formation in southwest Arkansas. At full capacity, the project has the potential to produce up to 45,000 tonnes per annum (tpa) of battery-quality lithium carbonate over a minimum 20-year operating life. SWA includes some of the highest reported lithium brine concentrations in North America with a maximum lithium grade of 597 mg/L and an average of 437 mg/L.","Battery Manufacturing & Energy Storage","Lafayette County, AR; Buckner, AR; Bradley, AR; Springhill, LA; Lewisville, AR; Stamps, AR"
